m153,22.48 22.48 22.48 0.00 0.00 0.00,None,,m153,m153,153,-,-,-1e20   1e20
m154,43.78 43.78 43.78 0.00 0.00 0.00,None,,m154,m154,154,-,-,-1e20   1e20
m155,43.78 43.78 43.78 0.00 0.00 0.00,None,,m155,m155,155,-,-,-1e20   1e20
m156,22.48 22.48 22.48 0.00 0.00 0.00,None,,m156,m156,156,-,-,-1e20   1e20
m157,11.44 11.44 11.44 0.00 0.00 0.00,None,,m157,m157,157,-,-,-1e20   1e20
m158,22.69 22.69 22.69 0.00 0.00 0.00,None,,m158,m158,158,-,-,-1e20   1e20
m159,22.69 22.69 22.69 0.00 0.00 0.00,None,,m159,m159,159,-,-,-1e20   1e20
m160,11.44 11.44 11.44 0.00 0.00 0.00,None,,m160,m160,160,-,-,-1e20   1e20
m161,10.68 10.68 10.68 0.00 0.00 0.00,None,,m161,m161,161,-,-,-1e20   1e20
m162,22.02 22.02 22.02 0.00 0.00 0.00,None,,m162,m162,162,-,-,-1e20   1e20
m163,22.02 22.02 22.02 0.00 0.00 0.00,None,,m163,m163,163,-,-,-1e20   1e20
m164,10.68 10.68 10.68 0.00 0.00 0.00,None,,m164,m164,164,-,-,-1e20   1e20
m165,21.1 21.1 21.1 0.00 0.00 0.00,None,,m165,m165,165,-,-,-1e20   1e20
m166,43.93 43.93 43.93 0.00 0.00 0.00,None,,m166,m166,166,-,-,-1e20   1e20
m167,43.93 43.93 43.93 0.00 0.00 0.00,None,,m167,m167,167,-,-,-1e20   1e20
m168,21.1 21.1 21.1 0.00 0.00 0.00,None,,m168,m168,168,-,-,-1e20   1e20
m169,21.1 21.1 21.1 0.00 0.00 0.00,None,,m169,m169,169,-,-,-1e20   1e20
m170,43.93 43.93 43.93 0.00 0.00 0.00,None,,m170,m170,170,-,-,-1e20   1e20
m171,43.93 43.93 43.93 0.00 0.00 0.00,None,,m171,m171,171,-,-,-1e20   1e20
m172,21.1 21.1 21.1 0.00 0.00 0.00,None,,m172,m172,172,-,-,-1e20   1e20
m173,10.68 10.68 10.68 0.00 0.00 0.00,None,,m173,m173,173,-,-,-1e20   1e20
m174,22.02 22.02 22.02 0.00 0.00 0.00,None,,m174,m174,174,-,-,-1e20   1e20
m175,22.02 22.02 22.02 0.00 0.00 0.00,None,,m175,m175,175,-,-,-1e20   1e20
m176,10.68 10.68 10.68 0.00 0.00 0.00,None,,m176,m176,176,-,-,-1e20   1e20
