Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
63/64/7,0,0,51.607,-33.39,0,2
63/64/8,0,0,37.577,-24.304,0,2
63/64/9,0,0,34.538,-22.281,0,2
63/64/13,0,0,30.413,-17.697,0,2
63/64/14,0,0,34.408,-24.034,0,2
63/70/6,0,0,2.218,19.257,0,2
63/70/7,0,0,3.334,29.806,0,2
63/70/8,0,0,2.457,21.718,0,2
63/70/9,0,0,2.286,19.96,0,2
63/70/13,0,0,0.17,17.903,0,2
63/70/14,0,0,4.165,19.557,0,2
64/68/6,0,0,-20.269,76.891,0,2.35
64/68/7,0,0,-30.396,116.935,0,2.35
64/68/8,0,0,-21.462,83.762,0,2.35
64/68/9,0,0,-20.61,78.854,0,2.35
64/68/13,0,0,-20.343,76.135,0,2.35
64/68/14,0,0,-19.682,74.701,0,2.35
64/69/6,0,0,-54.428,-14.38,0,2.35
64/69/7,0,0,-83.036,-21.918,0,2.35
64/69/8,0,0,-59.792,-15.752,0,2.35
64/69/9,0,0,-55.961,-14.772,0,2.35
64/69/13,0,0,-53.609,-14.145,0,2.35
64/69/14,0,0,-52.948,-14.027,0,2.35
65/62/6,0,0,46.036,-29.836,0,1.65
65/62/7,0,0,70.758,-45.968,0,1.65
65/62/8,0,0,51.181,-33.212,0,1.65
65/62/9,0,0,47.506,-30.8,0,1.65
65/62/13,0,0,46.855,-31.966,0,1.65
65/62/14,0,0,43.011,-26.258,0,1.65
65/69/6,0,0,23.331,30.798,0,1.65
65/69/7,0,0,35.635,47.225,0,1.65
65/69/8,0,0,25.618,34.078,0,1.65
65/69/9,0,0,23.984,31.735,0,1.65
65/69/13,0,0,24.763,30.412,0,1.65
65/69/14,0,0,20.919,29.779,0,1.65
66/67/6,0,0,73.093,-61.518,0,2.675
66/67/7,0,0,111.827,-94.126,0,2.675
66/67/8,0,0,80.518,-67.59,0,2.675
66/67/9,0,0,75.214,-63.253,0,2.675
66/67/13,0,0,72.119,-60.899,0,2.675
66/67/14,0,0,70.886,-59.534,0,2.675
66/68/6,0,0,31.803,83.356,0,2.675
66/68/7,0,0,48.08,127.027,0,2.675
66/68/8,0,0,34.11,91.002,0,2.675
66/68/9,0,0,32.462,85.541,0,2.675
66/68/13,0,0,31.926,82.684,0,2.675
66/68/14,0,0,30.693,80.751,0,2.675
68/60/6,0,0,11.9,-17.724,0,1.65
68/60/7,0,0,17.621,-26.79,0,1.65
68/60/8,0,0,12.737,-19.458,0,1.65
68/60/9,0,0,12.14,-18.22,0,1.65
68/60/13,0,0,17.117,-21.659,0,1.65
68/60/14,0,0,6.325,-13.047,0,1.65
68/67/6,0,0,-1.718,-9.324,0,1.65
68/67/7,0,0,-2.254,-14.112,0,1.65
68/67/8,0,0,-1.834,-10.463,0,1.65
68/67/9,0,0,-1.751,-9.649,0,1.65
68/67/13,0,0,3.702,-4.483,0,1.65
68/67/14,0,0,-7.089,-13.677,0,1.65
70/65/6,0,0,11.936,23.094,0,2.775
