Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MZ (kNm),Length (m)
 297/ 84/ 6 (C),539.55,-6.11,-64.1,-0.51,-8.65,2.8
 297/ 84/ 7 (C),359.71,-3.85,-41.94,-0.33,-5.46,2.8
 297/ 117/ 6 (C),524.43,-6.11,-64.1,-0.51,8.46,2.8
 297/ 117/ 7 (C),348.51,-3.85,-41.94,-0.33,5.33,2.8
 298/ 116/ 6 (C),0,0,25.02,-34.8,0,2
 298/ 116/ 7 (C),0,0,16.29,-22.82,0,2
 298/ 117/ 6 (C),0,0,-9.61,-34.8,0,2
 298/ 117/ 7 (C),0,0,-6.53,-22.82,0,2
 299/ 83/ 6 (C),457.74,0.79,20.48,-0.51,1.07,2.8
 299/ 83/ 7 (C),304.04,0.6,13.51,-0.33,0.82,2.8
 299/ 116/ 6 (C),442.62,0.79,20.48,-0.51,-1.13,2.8
 299/ 116/ 7 (C),292.84,0.6,13.51,-0.33,-0.86,2.8
 300/ 115/ 6 (C),0,0,-77.2,5.3,0,1.225
 300/ 115/ 7 (C),0,0,-50.42,3.2,0,1.225
 300/ 116/ 6 (C),0,0,-96.72,5.3,0,1.225
 300/ 116/ 7 (C),0,0,-63.38,3.2,0,1.225
 301/ 114/ 6 (C),0,0,-17.87,5.39,0,2.35
 301/ 114/ 7 (C),0,0,-11.79,3.51,0,2.35
 301/ 115/ 6 (C),0,0,-54.44,5.39,0,2.35
 301/ 115/ 7 (C),0,0,-36.1,3.51,0,2.35
 302/ 106/ 6 (C),0,0,60.04,24.65,0,2.7
 302/ 106/ 7 (C),0,0,38.35,16.08,0,2.7
 302/ 115/ 6 (C),0,0,-22.76,24.65,0,2.7
 302/ 115/ 7 (C),0,0,-14.32,16.08,0,2.7
 303/ 81/ 6 (C),40.22,-17.21,-17.28,-0.51,-23.46,2.8
 303/ 81/ 7 (C),28.96,-10.76,-11.29,-0.33,-14.66,2.8
 303/ 114/ 6 (C),25.1,-17.21,-17.28,-0.51,24.74,2.8
 303/ 114/ 7 (C),17.76,-10.76,-11.29,-0.33,15.48,2.8
 304/ 113/ 6 (C),0,0,112.91,-1.25,0,2.675
 304/ 113/ 7 (C),0,0,74.3,-0.69,0,2.675
 304/ 114/ 6 (C),0,0,68.02,-1.25,0,2.675
 304/ 114/ 7 (C),0,0,44.65,-0.69,0,2.675
 305/ 101/ 6 (C),0,0,69.76,-0.45,0,4.325
 305/ 101/ 7 (C),0,0,44.33,-0.31,0,4.325
 305/ 114/ 6 (C),0,0,-74.88,-0.45,0,4.325
 305/ 114/ 7 (C),0,0,-47.33,-0.31,0,4.325
 306/ 80/ 6 (C),485.01,-11.53,-44.26,-0.51,-15.85,2.8
 306/ 80/ 7 (C),323.78,-7.42,-29.06,-0.33,-10.21,2.8
 306/ 113/ 6 (C),469.89,-11.53,-44.26,-0.51,16.42,2.8
 306/ 113/ 7 (C),312.58,-7.42,-29.06,-0.33,10.58,2.8
 307/ 100/ 6 (C),0,0,43.97,0.69,0,4.325
 307/ 100/ 7 (C),0,0,28.6,0.38,0,4.325
 307/ 113/ 6 (C),0,0,-45.16,0.69,0,4.325
 307/ 113/ 7 (C),0,0,-29.39,0.38,0,4.325
 308/ 79/ 6 (C),593.57,-4.55,53.14,-0.51,-6.38,2.8
 308/ 79/ 7 (C),393.08,-3.03,34.56,-0.33,-4.25,2.8
 308/ 112/ 6 (C),578.45,-4.55,53.14,-0.51,6.35,2.8
 308/ 112/ 7 (C),381.88,-3.03,34.56,-0.33,4.23,2.8
 309/ 112/ 6 (C),0,0,140.31,-9.5,0,2.775
 309/ 112/ 7 (C),0,0,91.03,-6.25,0,2.775
 309/ 111/ 6 (C),0,0,47.39,-9.5,0,2.775
 309/ 111/ 7 (C),0,0,32.15,-6.25,0,2.775
 310/ 112/ 6 (C),0,0,33.42,9.58,0,2.45
 310/ 112/ 7 (C),0,0,22.1,6.3,0,2.45
 310/ 105/ 6 (C),0,0,-5.63,9.58,0,2.45
 310/ 105/ 7 (C),0,0,-3.81,6.3,0,2.45
 311/ 78/ 6 (C),51.91,29.72,32.17,-0.51,41.75,2.8
 311/ 78/ 7 (C),37.84,19.51,20.89,-0.33,27.42,2.8
 311/ 111/ 6 (C),36.79,29.72,32.17,-0.51,-41.45,2.8
 311/ 111/ 7 (C),26.64,19.51,20.89,-0.33,-27.22,2.8
 312/ 111/ 6 (C),0,0,60.53,-19.31,0,1
 312/ 111/ 7 (C),0,0,38.56,-12.61,0,1
 312/ 110/ 6 (C),0,0,39.95,-19.31,0,1
 312/ 110/ 7 (C),0,0,25.17,-12.61,0,1
 313/ 104/ 6 (C),0,0,82.95,17.07,0,2.45
 313/ 104/ 7 (C),0,0,54.13,11.09,0,2.45
 313/ 111/ 6 (C),0,0,25.94,17.07,0,2.45
 313/ 111/ 7 (C),0,0,17.32,11.09,0,2.45
 314/ 110/ 6 (C),0,0,-13.82,-6.53,0,2.15
 314/ 110/ 7 (C),0,0,-9.43,-4.17,0,2.15
 314/ 109/ 6 (C),0,0,-62.02,-6.53,0,2.15
 314/ 109/ 7 (C),0,0,-40.62,-4.17,0,2.15
 315/ 109/ 6 (C),0,0,-93.37,-46.17,0,1.175
 315/ 109/ 7 (C),0,0,-60.35,-30.16,0,1.175
 315/ 107/ 6 (C),0,0,-116.83,-46.17,0,1.175
 315/ 107/ 7 (C),0,0,-75.65,-30.16,0,1.175
 316/ 75/ 6 (C),909.35,-11.83,28.35,-0.51,-16.78,2.8
 316/ 75/ 7 (C),596.19,-7.61,18.05,-0.33,-10.8,2.8
 316/ 108/ 6 (C),894.23,-11.83,28.35,-0.51,16.34,2.8
 316/ 108/ 7 (C),584.99,-7.61,18.05,-0.33,10.51,2.8
 317/ 107/ 6 (C),0,0,-112.53,-39.57,0,1.8
 317/ 107/ 7 (C),0,0,-72.32,-25.66,0,1.8
 317/ 108/ 6 (C),0,0,-162.06,-39.57,0,1.8
 317/ 108/ 7 (C),0,0,-103.99,-25.66,0,1.8
 318/ 103/ 6 (C),0,0,-101.81,42.87,0,1.275
 318/ 103/ 7 (C),0,0,-65.87,27.64,0,1.275
 318/ 108/ 6 (C),0,0,-132.1,42.87,0,1.275
 318/ 108/ 7 (C),0,0,-85.4,27.64,0,1.275
 319/ 106/ 6 (C),0,0,114.11,22.35,0,3.05
 319/ 106/ 7 (C),0,0,72.72,14.5,0,3.05
 319/ 107/ 6 (C),0,0,4.3,22.35,0,3.05
 319/ 107/ 7 (C),0,0,3.33,14.5,0,3.05
 320/ 73/ 6 (C),840.84,-2.8,-20.07,-0.51,-3.73,2.8
 320/ 73/ 7 (C),550.56,-1.77,-12.61,-0.33,-2.36,2.8
 320/ 106/ 6 (C),825.72,-2.8,-20.07,-0.51,4.1,2.8
 320/ 106/ 7 (C),539.36,-1.77,-12.61,-0.33,2.59,2.8
 321/ 102/ 6 (C),0,0,-52.47,-35.7,0,1.625
 321/ 102/ 7 (C),0,0,-34.19,-23.1,0,1.625
 321/ 106/ 6 (C),0,0,-101.53,-35.7,0,1.625
 321/ 106/ 7 (C),0,0,-65.42,-23.1,0,1.625
 322/ 99/ 6 (C),0,0,10.16,3.93,0,2
 322/ 99/ 7 (C),0,0,6.9,2.58,0,2
 322/ 105/ 6 (C),0,0,-18.34,3.93,0,2
 322/ 105/ 7 (C),0,0,-12.2,2.58,0,2
 323/ 72/ 6 (C),363.22,-3.09,26.04,-0.51,-5.05,2.8
 323/ 72/ 7 (C),242.09,-2.04,16.73,-0.33,-3.33,2.8
 323/ 105/ 6 (C),348.1,-3.09,26.04,-0.51,3.59,2.8
 323/ 105/ 7 (C),230.89,-2.04,16.73,-0.33,2.37,2.8
 324/ 104/ 6 (C),0,0,-3.14,-19.01,0,2.775
 324/ 104/ 7 (C),0,0,-2.4,-12.45,0,2.775
 324/ 105/ 6 (C),0,0,-84.47,-19.01,0,2.775
 324/ 105/ 7 (C),0,0,-54.26,-12.45,0,2.775
 325/ 103/ 6 (C),0,0,108.51,43.08,0,1.35
 325/ 103/ 7 (C),0,0,70.36,28.13,0,1.35
 325/ 104/ 6 (C),0,0,79.82,43.08,0,1.35
 325/ 104/ 7 (C),0,0,51.73,28.13,0,1.35
 326/ 97/ 6 (C),0,0,63.23,-6.76,0,2
 326/ 97/ 7 (C),0,0,40.59,-4.42,0,2
 326/ 103/ 6 (C),0,0,6.7,-6.76,0,2
 326/ 103/ 7 (C),0,0,4.48,-4.42,0,2
 327/ 95/ 6 (C),0,0,75.8,14.05,0,1.65
 327/ 95/ 7 (C),0,0,48.99,9.31,0,1.65
 327/ 102/ 6 (C),0,0,34.03,14.05,0,1.65
 327/ 102/ 7 (C),0,0,22.16,9.31,0,1.65
 328/ 101/ 6 (C),0,0,-25.95,-5.95,0,2.35
 328/ 101/ 7 (C),0,0,-17.49,-3.82,0,2.35
 328/ 102/ 6 (C),0,0,-86.5,-5.95,0,2.35
 328/ 102/ 7 (C),0,0,-56.35,-3.82,0,2.35
 329/ 68/ 6 (C),58.52,13.01,-10.42,-0.51,17.68,2.8
 329/ 68/ 7 (C),41.29,8.27,-6.7,-0.33,11.24,2.8
 329/ 101/ 6 (C),43.4,13.01,-10.42,-0.51,-18.73,2.8
 329/ 101/ 7 (C),30.09,8.27,-6.7,-0.33,-11.92,2.8
 330/ 100/ 6 (C),0,0,124.2,2.38,0,2.675
 330/ 100/ 7 (C),0,0,80.54,1.5,0,2.675
 330/ 101/ 6 (C),0,0,51.31,2.38,0,2.675
 330/ 101/ 7 (C),0,0,33.9,1.5,0,2.675
 331/ 100/ 6 (C),0,0,3.12,-4.27,0,1.65
 331/ 100/ 7 (C),0,0,2.19,-2.91,0,1.65
 331/ 93/ 6 (C),0,0,-18.22,-4.27,0,1.65
 331/ 93/ 7 (C),0,0,-12.25,-2.91,0,1.65
 332/ 67/ 6 (C),525.33,8.62,-43.67,-0.51,11.88,2.8
 332/ 67/ 7 (C),348.3,5.57,-28.31,-0.33,7.67,2.8
 332/ 100/ 6 (C),510.21,8.62,-43.67,-0.51,-12.27,2.8
 332/ 100/ 7 (C),337.1,5.57,-28.31,-0.33,-7.93,2.8
 333/ 16/ 6 (C),843.59,-6.3,-23.32,-0.13,-6.68,3.05
 333/ 16/ 7 (C),561.85,-4.04,-15.33,-0.08,-4.28,3.05
 333/ 47/ 6 (C),827.12,-6.3,-23.32,-0.13,12.54,3.05
 333/ 47/ 7 (C),549.65,-4.04,-15.33,-0.08,8.03,3.05
 334/ 11/ 6 (C),930.07,3.94,-24.23,-0.13,3.74,3.05
 334/ 11/ 7 (C),614.45,2.54,-15.74,-0.08,2.4,3.05
 334/ 33/ 6 (C),913.6,3.94,-24.23,-0.13,-8.28,3.05
 334/ 33/ 7 (C),602.25,2.54,-15.74,-0.08,-5.34,3.05
 335/ 1/ 6 (C),655.61,3.95,-23.43,-0.13,3.74,3.05
 335/ 1/ 7 (C),436.12,2.52,-15.3,-0.08,2.38,3.05
 335/ 20/ 6 (C),639.14,3.95,-23.43,-0.13,-8.3,3.05
 335/ 20/ 7 (C),423.92,2.52,-15.3,-0.08,-5.3,3.05
 336/ 6/ 6 (C),798.06,-3.14,-17.74,-0.13,-3.46,3.05
 336/ 6/ 7 (C),526.48,-2.01,-11.37,-0.08,-2.22,3.05
 336/ 26/ 6 (C),781.59,-3.14,-17.74,-0.13,6.12,3.05
 336/ 26/ 7 (C),514.28,-2.01,-11.37,-0.08,3.91,3.05
 337/ 5/ 6 (C),356.05,4.28,1.1,-0.13,2.65,3.05
 337/ 5/ 7 (C),241.12,2.78,0.7,-0.08,1.73,3.05
 337/ 25/ 6 (C),339.58,4.28,1.1,-0.13,-10.39,3.05
 337/ 25/ 7 (C),228.92,2.78,0.7,-0.08,-6.75,3.05
 338/ 10/ 6 (C),617.85,-7.65,7.91,-0.13,-9.48,3.05
 338/ 10/ 7 (C),409.6,-4.98,5.02,-0.08,-6.15,3.05
 338/ 32/ 6 (C),601.38,-7.65,7.91,-0.13,13.87,3.05
 338/ 32/ 7 (C),397.4,-4.98,5.02,-0.08,9.02,3.05
 340/ 15/ 6 (C),1087.93,-2.9,28.36,-0.13,-4.65,3.05
 340/ 15/ 7 (C),718.36,-1.92,18.46,-0.08,-3.05,3.05
 340/ 46/ 6 (C),1071.46,-2.9,28.36,-0.13,4.2,3.05
 340/ 46/ 7 (C),706.16,-1.92,18.46,-0.08,2.81,3.05
 341/ 19/ 6 (C),868,-4.21,31.07,-0.13,-5.97,3.05
 341/ 19/ 7 (C),576.63,-2.67,20.37,-0.08,-3.81,3.05
 341/ 54/ 6 (C),851.53,-4.21,31.07,-0.13,6.86,3.05
 341/ 54/ 7 (C),564.43,-2.67,20.37,-0.08,4.33,3.05
 342/ 18/ 6 (C),931.37,-2.91,-32.01,-0.13,-3.87,3.05
 342/ 18/ 7 (C),619.54,-1.83,-20.95,-0.08,-2.45,3.05
 342/ 51/ 6 (C),914.9,-2.91,-32.01,-0.13,5.02,3.05
 342/ 51/ 7 (C),607.34,-1.83,-20.95,-0.08,3.13,3.05
 343/ 14/ 6 (C),1576.48,-5.21,15.4,-0.13,-6.57,3.05
 343/ 14/ 7 (C),1028.62,-3.32,9.82,-0.08,-4.2,3.05
 343/ 42/ 6 (C),1560.01,-5.21,15.4,-0.13,9.32,3.05
 343/ 42/ 7 (C),1016.42,-3.32,9.82,-0.08,5.93,3.05
 344/ 12/ 6 (C),627.6,11.47,9.14,-0.21,9.94,3.05
 344/ 12/ 7 (C),416.89,7.64,5.86,-0.14,6.65,3.05
 344/ 36/ 6 (C),611.13,11.2,9.14,-0.21,-24.63,3.05
 344/ 36/ 7 (C),404.69,7.44,5.86,-0.14,-16.35,3.05
