Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MZ (kNm),Length (m)
 53/ 74/ 7 (C),0,0,-75.03,-27.15,0,1.8
 53/ 75/ 6 (C),0,0,-166.21,-41.85,0,1.8
 53/ 75/ 7 (C),0,0,-106.7,-27.15,0,1.8
 54/ 70/ 6 (C),0,0,-109.96,45,0,1.275
 54/ 70/ 7 (C),0,0,-71.2,29.01,0,1.275
 54/ 75/ 6 (C),0,0,-140.25,45,0,1.275
 54/ 75/ 7 (C),0,0,-90.73,29.01,0,1.275
 55/ 42/ 6 (C),1236.82,-14.34,31.06,-0.51,-21.08,2.8
 55/ 42/ 7 (C),808.4,-9.25,19.76,-0.33,-13.6,2.8
 55/ 75/ 6 (C),1221.7,-14.34,31.06,-0.51,19.07,2.8
 55/ 75/ 7 (C),797.2,-9.25,19.76,-0.33,12.29,2.8
 56/ 73/ 6 (C),0,0,114.45,23.22,0,3.05
 56/ 73/ 7 (C),0,0,72.93,15.07,0,3.05
 56/ 74/ 6 (C),0,0,4.63,23.22,0,3.05
 56/ 74/ 7 (C),0,0,3.55,15.07,0,3.05
 57/ 69/ 6 (C),0,0,-59.15,-38.94,0,1.625
 57/ 69/ 7 (C),0,0,-38.55,-25.19,0,1.625
 57/ 73/ 6 (C),0,0,-108.21,-38.94,0,1.625
 57/ 73/ 7 (C),0,0,-69.78,-25.19,0,1.625
 58/ 40/ 6 (C),1143.5,-1.79,-20.8,-0.51,-2.25,2.8
 58/ 40/ 7 (C),745.97,-1.13,-13.02,-0.33,-1.41,2.8
 58/ 73/ 6 (C),1128.38,-1.79,-20.8,-0.51,2.77,2.8
 58/ 73/ 7 (C),734.77,-1.13,-13.02,-0.33,1.74,2.8
 59/ 71/ 6 (C),0,0,-4.43,-21.5,0,2.775
 59/ 71/ 7 (C),0,0,-3.26,-14.08,0,2.775
 59/ 72/ 6 (C),0,0,-85.77,-21.5,0,2.775
 59/ 72/ 7 (C),0,0,-55.11,-14.08,0,2.775
 60/ 66/ 6 (C),0,0,15.07,4,0,2
 60/ 66/ 7 (C),0,0,10.14,2.62,0,2
 60/ 72/ 6 (C),0,0,-13.43,4,0,2
 60/ 72/ 7 (C),0,0,-8.96,2.62,0,2
 61/ 39/ 6 (C),480.4,10.87,27.91,-0.51,22.38,2.8
 61/ 39/ 7 (C),319.36,7.21,17.92,-0.33,14.83,2.8
 61/ 72/ 6 (C),465.28,10.87,27.91,-0.51,-8.06,2.8
 61/ 72/ 7 (C),308.16,7.21,17.92,-0.33,-5.35,2.8
 62/ 70/ 6 (C),0,0,114.9,47.69,0,1.35
 62/ 70/ 7 (C),0,0,74.51,31.14,0,1.35
 62/ 71/ 6 (C),0,0,86.21,47.69,0,1.35
 62/ 71/ 7 (C),0,0,55.88,31.14,0,1.35
 63/ 64/ 6 (C),0,0,61.47,-8.71,0,2
 63/ 64/ 7 (C),0,0,39.41,-5.7,0,2
 63/ 70/ 6 (C),0,0,4.94,-8.71,0,2
 63/ 70/ 7 (C),0,0,3.31,-5.7,0,2
 64/ 68/ 6 (C),0,0,-36.67,-5.55,0,2.35
 64/ 68/ 7 (C),0,0,-24.47,-3.56,0,2.35
 64/ 69/ 6 (C),0,0,-97.22,-5.55,0,2.35
 64/ 69/ 7 (C),0,0,-63.33,-3.56,0,2.35
 65/ 62/ 6 (C),0,0,79.83,19.04,0,1.65
 65/ 62/ 7 (C),0,0,51.61,12.57,0,1.65
 65/ 69/ 6 (C),0,0,38.07,19.04,0,1.65
 65/ 69/ 7 (C),0,0,24.78,12.57,0,1.65
 66/ 67/ 6 (C),0,0,134.7,1.94,0,2.675
 66/ 67/ 7 (C),0,0,87.43,1.22,0,2.675
 66/ 68/ 6 (C),0,0,61.81,1.94,0,2.675
 66/ 68/ 7 (C),0,0,40.79,1.22,0,2.675
 67/ 34/ 6 (C),44.82,17.38,-10,-0.51,26.88,2.8
 67/ 34/ 7 (C),31.51,11.02,-6.46,-0.33,17.04,2.8
 67/ 68/ 6 (C),29.7,17.38,-10,-0.51,-21.77,2.8
 67/ 68/ 7 (C),20.31,11.02,-6.46,-0.33,-13.81,2.8
 68/ 60/ 6 (C),0,0,17.2,-6.52,0,1.65
 68/ 60/ 7 (C),0,0,11.57,-4.39,0,1.65
 68/ 67/ 6 (C),0,0,-4.14,-6.52,0,1.65
 68/ 67/ 7 (C),0,0,-2.88,-4.39,0,1.65
 69/ 33/ 6 (C),723.34,8.89,-51.52,-0.51,12.78,2.8
 69/ 33/ 7 (C),478.44,5.72,-33.44,-0.33,8.21,2.8
 69/ 67/ 6 (C),708.22,8.89,-51.52,-0.51,-12.12,2.8
 69/ 67/ 7 (C),467.24,5.72,-33.44,-0.33,-7.8,2.8
