elemConnectivity1,elemConnectivity2,elemConnectivity3,elemConnectivity4,elemConnectivity5,elemConnectivity6
186,Col1,138   171   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
187,Beam5,169   170   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
188,Beam5,163   169   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
189,Beam2,167   168   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
190,Beam5,161   168   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
191,Beam2,166   167   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
192,Col2,134   167   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
193,Beam2,159   166   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
194,Col1,133   166   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
195,Beam2,164   165   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
196,Beam2,158   165   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
197,Col1,132   165   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
198,Beam2,163   164   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
199,Beam2,157   164   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
200,Beam2,162   163   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
201,Col5,130   163   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
202,Beam2,161   162   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
203,Beam2,156   162   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
204,Col1,129   162   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
205,Beam2,160   161   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
206,Col5,128   161   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
207,Beam2,159   160   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
208,Beam2,155   160   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
209,Beam2,154   159   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
210,Col1,126   159   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
211,Beam2,157   158   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
212,Col1,125   158   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
213,Beam2,156   157   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
214,Col1,124   157   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
215,Beam2,155   156   deg=0.00,0.00   0.00   0.00   0.00   0.00   0.00,,-1e20   1e20
