Column1,Column3,Column4,Column5,Column6,Column7,Column8
85/26/14,349.84,-4.491,-13.97,20.299,-6.437,2.8
85/60/6,351.652,-0.78,-13.773,-18.518,0.936,2.8
85/60/7,529.916,-1.185,-21.295,-28.647,1.421,2.8
85/60/8,380.694,-0.898,-15.421,-20.747,1.086,2.8
85/60/9,359.95,-0.814,-14.244,-19.155,0.979,2.8
85/60/13,347.318,2.982,-12.87,-17.265,-4.33,2.8
85/60/14,343.54,-4.491,-13.97,-18.817,6.138,2.8
87/25/6,162.719,1.93,1.748,-2.088,2.826,2.8
87/25/7,239.136,2.988,2.668,-3.184,4.37,2.8
87/25/8,172.825,2.191,1.918,-2.29,3.205,2.8
87/25/9,165.606,2.004,1.797,-2.146,2.934,2.8
87/25/13,160.659,-0.663,3.908,-5.096,-0.731,2.8
87/25/14,160.447,4.411,-0.484,1.008,6.22,2.8
87/59/6,156.419,1.93,1.748,2.808,-2.577,2.8
87/59/7,230.631,2.988,2.668,4.285,-3.995,2.8
87/59/8,166.525,2.191,1.918,3.08,-2.93,2.8
87/59/9,159.306,2.004,1.797,2.885,-2.678,2.8
87/59/13,154.359,-0.663,3.908,5.845,1.127,2.8
87/59/14,154.147,4.411,-0.484,-0.346,-6.13,2.8
89/24/6,300.489,8.351,1.184,-2.082,12.008,2.8
89/24/7,452.143,13.15,1.806,-3.168,18.909,2.8
89/24/8,324.697,9.566,1.293,-2.272,13.754,2.8
89/24/9,307.406,8.698,1.215,-2.136,12.507,2.8
89/24/13,290.576,7.401,3.81,-5.748,10.773,2.8
89/24/14,300.028,8.781,-1.49,1.665,12.494,2.8
89/58/6,294.189,8.351,1.184,1.232,-11.376,2.8
89/58/7,443.638,13.15,1.806,1.888,-17.911,2.8
89/58/8,318.397,9.566,1.293,1.348,-13.03,2.8
89/58/9,301.106,8.698,1.215,1.265,-11.849,2.8
89/58/13,284.276,7.401,3.81,4.92,-9.95,2.8
89/58/14,293.728,8.781,-1.49,-2.507,-12.094,2.8
91/23/6,458.477,6.811,-1.257,4.726,9.877,2.8
91/23/7,692.146,10.783,-1.94,7.206,15.633,2.8
91/23/8,497.061,7.846,-1.413,5.211,11.372,2.8
91/23/9,469.501,7.106,-1.302,4.864,10.304,2.8
91/23/13,450.83,6.529,1.315,1.099,9.452,2.8
91/23/14,449.588,6.648,-3.762,8.144,9.662,2.8
91/57/6,452.177,6.811,-1.257,1.206,-9.192,2.8
91/57/7,683.641,10.783,-1.94,1.773,-14.559,2.8
91/57/8,490.761,7.846,-1.413,1.255,-10.597,2.8
91/57/9,463.201,7.106,-1.302,1.22,-9.594,2.8
91/57/13,444.53,6.529,1.315,4.78,-8.83,2.8
91/57/14,443.288,6.648,-3.762,-2.39,-8.953,2.8
93/21/6,211.945,8.472,9.563,-18.327,12.544,2.8
93/21/7,319.013,13.439,14.435,-27.686,19.901,2.8
93/21/8,228.465,9.788,10.4,-19.943,14.493,2.8
93/21/9,216.665,8.848,9.802,-18.788,13.101,2.8
93/21/13,209.974,8.95,12.254,-22.11,13.18,2.8
93/21/14,206.836,7.429,6.513,-13.85,11.074,2.8
93/56/6,205.645,8.472,9.563,8.449,-11.176,2.8
93/56/7,310.508,13.439,14.435,12.733,-17.729,2.8
93/56/8,222.165,9.788,10.4,9.176,-12.913,2.8
93/56/9,210.365,8.848,9.802,8.657,-11.672,2.8
93/56/13,203.674,8.95,12.254,12.201,-11.879,2.8
93/56/14,200.536,7.429,6.513,4.385,-9.729,2.8
94/20/6,269.335,3.657,-15.78,24.287,5.185,2.8
94/20/7,401.148,5.638,-23.976,36.887,7.995,2.8
94/20/8,289.235,4.089,-17.298,26.61,5.799,2.8
94/20/9,275.021,3.78,-16.214,24.951,5.36,2.8
94/20/13,268.045,6.359,-13.515,21.158,8.887,2.8
94/20/14,262.098,0.77,-17.395,26.421,1.22,2.8
94/55/6,263.035,3.657,-15.78,-19.897,-5.055,2.8
94/55/7,392.643,5.638,-23.976,-30.246,-7.792,2.8
94/55/8,282.935,4.089,-17.298,-21.824,-5.649,2.8
94/55/9,268.721,3.78,-16.214,-20.448,-5.224,2.8
94/55/13,261.745,6.359,-13.515,-16.683,-8.919,2.8
94/55/14,255.798,0.77,-17.395,-22.286,-0.936,2.8
103/17/6,474.594,0.433,4.797,-4.482,0.314,3.05
103/17/7,713.999,0.624,7.193,-6.703,0.439,3.05
103/17/8,514.588,0.453,5.201,-4.848,0.318,3.05
103/17/9,486.021,0.439,4.912,-4.586,0.315,3.05
103/17/13,460.88,1.16,2.157,-0.342,1.434,3.05
103/17/14,471.168,-0.302,7.264,-8.464,-0.808,3.05
103/50/6,467.732,0.433,4.797,10.149,-1.008,3.05
103/50/7,704.735,0.624,7.193,15.236,-1.463,3.05
103/50/8,507.725,0.453,5.201,11.013,-1.064,3.05
103/50/9,479.158,0.439,4.912,10.396,-1.024,3.05
103/50/13,454.018,1.16,2.157,6.237,-2.105,3.05
103/50/14,464.305,-0.302,7.264,13.692,0.114,3.05
119/13/6,846.869,-1.141,-10.404,11.625,-1.469,3.05
119/13/7,1292.045,-1.784,-16.196,18.082,-2.288,3.05
119/13/8,928.002,-1.283,-11.767,13.125,-1.653,3.05
119/13/9,870.05,-1.182,-10.793,12.054,-1.522,3.05
119/13/13,828.364,2.129,-12.658,15.947,4.225,3.05
119/13/14,830.602,-4.351,-7.565,6.661,-7.085,3.05
119/40/6,834.669,-1.141,-10.404,-20.106,2.012,3.05
119/40/7,1275.575,-1.784,-16.196,-31.316,3.152,3.05
119/40/8,915.802,-1.283,-11.767,-22.763,2.262,3.05
119/40/9,857.85,-1.182,-10.793,-20.865,2.084,3.05
119/40/13,816.164,2.129,-12.658,-22.661,-2.267,3.05
119/40/14,818.402,-4.351,-7.565,-16.412,6.185,3.05
133/9/6,672.141,2.926,-5.524,6.42,2.304,3.05
133/9/7,1025.962,4.472,-8.527,9.906,3.51,3.05
133/9/8,736.607,3.248,-6.188,7.181,2.551,3.05
133/9/9,690.56,3.018,-5.713,6.637,2.375,3.05
133/9/13,654.981,-0.028,-3.883,3.663,-2.947,3.05
133/9/14,661.674,5.742,-6.879,8.85,7.45,3.05
133/30/6,659.941,2.926,-5.524,-10.428,-6.62,3.05
133/30/7,1009.492,4.472,-8.527,-16.102,-10.129,3.05
133/30/8,724.407,3.248,-6.188,-11.692,-7.355,3.05
133/30/9,678.36,3.018,-5.713,-10.789,-6.83,3.05
133/30/13,642.781,-0.028,-3.883,-8.181,-2.863,3.05
133/30/14,649.474,5.742,-6.879,-12.132,-10.062,3.05
135/8/6,495.956,-5.022,-1.453,2.281,-5.589,3.05
135/8/7,757.85,-7.907,-2.244,3.518,-8.785,3.05
