Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MX (kNm),MY (kNm),MZ (kNm)
 28/ 79/ 6 (C),0,0,25.22,1.4,-3.38,0
 28/ 79/ 6 (C),0,0,25.22,1.4,-3.38,0
 28/ 79/ 6 (C),0,0,25.22,1.4,-3.38,0
 28/ 79/ 6 (C),0,0,25.22,1.4,-3.38,0
 28/ 79/ 6 (C),0,0,25.22,1.4,-3.38,0
 28/ 87/ 6 (C),0,0,-45.17,1.4,-38.54,0
 28/ 79/ 6 (C),0,0,25.22,1.4,-3.38,0
 28/ 79/ 6 (C),0,0,25.22,1.4,-3.38,0
 28/ 79/ 6 (C),0,0,25.22,1.4,-3.38,0
 28/ 87/ 6 (C),0,0,-45.17,1.4,-38.54,0
 28/ 87/ 6 (C),0,0,-45.17,1.4,-38.54,0
 28/ 79/ 6 (C),0,0,25.22,1.4,-3.38,0
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-91.5,-20.98
 29/ 87/ 6 (C),678.72,-14.51,63.13,-0.51,85.27,19.64
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-91.5,-20.98
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-91.5,-20.98
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-91.5,-20.98
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-91.5,-20.98
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-91.5,-20.98
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-91.5,-20.98
 29/ 87/ 6 (C),678.72,-14.51,63.13,-0.51,85.27,19.64
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-91.5,-20.98
 29/ 87/ 6 (C),678.72,-14.51,63.13,-0.51,85.27,19.64
 29/ 54/ 6 (C),693.84,-14.51,63.13,-0.51,-91.5,-20.98
 30/ 85/ 6 (C),0,0,67.39,16.36,38.31,0
 30/ 85/ 6 (C),0,0,67.39,16.36,38.31,0
 30/ 85/ 6 (C),0,0,67.39,16.36,38.31,0
 30/ 85/ 6 (C),0,0,67.39,16.36,38.31,0
 30/ 85/ 6 (C),0,0,67.39,16.36,38.31,0
 30/ 86/ 6 (C),0,0,35.55,16.36,148.97,0
 30/ 85/ 6 (C),0,0,67.39,16.36,38.31,0
 30/ 85/ 6 (C),0,0,67.39,16.36,38.31,0
 30/ 86/ 6 (C),0,0,35.55,16.36,148.97,0
 30/ 85/ 6 (C),0,0,67.39,16.36,38.31,0
 30/ 85/ 6 (C),0,0,67.39,16.36,38.31,0
 30/ 86/ 6 (C),0,0,35.55,16.36,148.97,0
 31/ 77/ 6 (C),0,0,53.23,1.77,-12.1,0
 31/ 77/ 6 (C),0,0,53.23,1.77,-12.1,0
 31/ 77/ 6 (C),0,0,53.23,1.77,-12.1,0
 31/ 77/ 6 (C),0,0,53.23,1.77,-12.1,0
 31/ 77/ 6 (C),0,0,53.23,1.77,-12.1,0
 31/ 86/ 6 (C),0,0,-56.67,1.77,-18.15,0
 31/ 77/ 6 (C),0,0,53.23,1.77,-12.1,0
 31/ 77/ 6 (C),0,0,53.23,1.77,-12.1,0
 31/ 77/ 6 (C),0,0,53.23,1.77,-12.1,0
 31/ 86/ 6 (C),0,0,-56.67,1.77,-18.15,0
 31/ 77/ 6 (C),0,0,53.23,1.77,-12.1,0
 31/ 86/ 6 (C),0,0,-56.67,1.77,-18.15,0
 32/ 53/ 6 (C),16.99,-15.3,-1.34,-0.51,1.88,-23.8
 32/ 86/ 6 (C),1.87,-15.3,-1.34,-0.51,-1.89,19.03
 32/ 53/ 6 (C),16.99,-15.3,-1.34,-0.51,1.88,-23.8
 32/ 53/ 6 (C),16.99,-15.3,-1.34,-0.51,1.88,-23.8
 32/ 53/ 6 (C),16.99,-15.3,-1.34,-0.51,1.88,-23.8
 32/ 53/ 6 (C),16.99,-15.3,-1.34,-0.51,1.88,-23.8
 32/ 53/ 6 (C),16.99,-15.3,-1.34,-0.51,1.88,-23.8
 32/ 53/ 6 (C),16.99,-15.3,-1.34,-0.51,1.88,-23.8
 32/ 53/ 6 (C),16.99,-15.3,-1.34,-0.51,1.88,-23.8
 32/ 86/ 6 (C),1.87,-15.3,-1.34,-0.51,-1.89,19.03
