"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 13/ 62/ 4,13.94,0.06,0.12,-0.16,0.08,2.800"
" 13/ 62/ 6,743.56,6.60,21.83,-29.81,8.77,2.800"
" 13/ 62/ 7,474.58,4.17,13.68,-18.78,5.65,2.800"
" 13/ 95/ 1,294.06,2.65,8.42,11.91,-3.72,2.800"
" 13/ 95/ 2,152.27,1.31,4.54,6.41,-1.83,2.800"
" 13/ 95/ 3,59.14,0.64,2.36,3.31,-0.89,2.800"
" 13/ 95/ 4,13.94,0.06,0.12,0.18,-0.08,2.800"
" 13/ 95/ 6,735.06,6.60,21.83,30.31,-8.72,2.800"
" 13/ 95/ 7,468.28,4.17,13.68,19.13,-5.64,2.800"
" 14/ 93/ 1,0.00,-0.00,27.86,-22.23,-0.00,3.675"
" 14/ 93/ 2,0.00,-0.00,15.42,-12.63,-0.00,3.675"
" 14/ 93/ 3,-0.00,-0.00,8.72,-7.20,-0.00,3.675"
" 14/ 93/ 4,0.00,-0.00,0.05,-0.01,-0.00,3.675"
" 14/ 93/ 6,0.00,-0.00,73.99,-59.92,-0.00,3.675"
" 14/ 93/ 7,0.00,-0.00,45.95,-37.08,-0.00,3.675"
" 14/ 94/ 1,0.00,-0.00,-9.83,15.77,0.00,3.675"
" 14/ 94/ 2,0.00,-0.00,-5.82,8.42,0.00,3.675"
" 14/ 94/ 3,-0.00,-0.00,-3.42,4.49,-0.00,3.675"
" 14/ 94/ 4,0.00,-0.00,0.05,0.16,0.00,3.675"
" 14/ 94/ 6,0.00,-0.00,-26.95,41.10,0.00,3.675"
" 14/ 94/ 7,0.00,-0.00,-16.62,25.66,0.00,3.675"
" 15/ 89/ 1,0.00,-0.00,19.80,-5.06,-0.00,3.725"
" 15/ 89/ 2,0.00,-0.00,11.76,-4.34,-0.00,3.725"
" 15/ 89/ 3,-0.00,-0.00,7.03,-3.24,-0.00,3.725"
" 15/ 89/ 4,0.00,-0.00,-0.16,0.38,0.00,3.725"
" 15/ 89/ 6,0.00,-0.00,54.59,-17.34,-0.00,3.725"
" 15/ 89/ 7,0.00,-0.00,33.58,-10.14,-0.00,3.725"
" 15/ 94/ 1,0.00,-0.00,-23.03,-11.09,0.00,3.725"
" 15/ 94/ 2,0.00,-0.00,-12.51,-5.74,0.00,3.725"
" 15/ 94/ 3,-0.00,-0.00,-6.84,-2.88,0.00,3.725"
" 15/ 94/ 4,0.00,-0.00,-0.16,-0.20,0.00,3.725"
" 15/ 94/ 6,0.00,-0.00,-60.47,-28.30,0.00,3.725"
" 15/ 94/ 7,0.00,-0.00,-37.69,-17.79,0.00,3.725"
" 16/ 88/ 1,0.00,0.00,12.21,-6.32,0.00,3.725"
" 16/ 88/ 2,0.00,0.00,5.88,-3.31,0.00,3.725"
" 16/ 88/ 3,-0.00,-0.00,3.33,-1.85,-0.00,3.725"
" 16/ 88/ 4,0.00,0.00,0.02,-0.02,0.00,3.725"
