"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 42/ 58/ 6,1540.19,-5.17,-1.67,-2.49,7.63,2.80"
" 42/ 58/ 7,985.64,-3.23,-1.06,-1.57,4.76,2.80"
" 43/ 43/ 6,1555.31,-5.17,1.67,-2.19,-6.85,2.80"
" 43/ 43/ 7,996.84,-3.23,1.06,-1.40,-4.28,2.80"
" 43/ 59/ 6,1540.19,-5.17,1.67,2.49,7.63,2.80"
" 43/ 59/ 7,985.64,-3.23,1.06,1.57,4.76,2.80"
" 44/ 44/ 6,842.64,-2.69,56.86,-78.30,-3.57,2.80"
" 44/ 44/ 7,547.02,-1.69,35.41,-48.72,-2.25,2.80"
" 44/ 60/ 6,827.52,-2.69,56.86,80.91,3.97,2.80"
" 44/ 60/ 7,535.82,-1.69,35.41,50.44,2.49,2.80"
" 45/ 45/ 6,479.74,-22.55,-33.38,45.86,-30.91,2.80"
" 45/ 45/ 7,315.76,-14.33,-21.14,29.02,-19.63,2.80"
" 45/ 61/ 6,464.62,-22.55,-33.38,-47.59,32.23,2.80"
" 45/ 61/ 7,304.56,-14.33,-21.14,-30.17,20.49,2.80"
" 46/ 46/ 6,882.55,-38.81,-0.83,1.11,-53.26,2.80"
" 46/ 46/ 7,573.25,-24.23,-0.52,0.71,-33.23,2.80"
" 46/ 62/ 6,867.43,-38.81,-0.83,-1.20,55.41,2.80"
" 46/ 62/ 7,562.05,-24.23,-0.52,-0.76,34.62,2.80"
" 47/ 47/ 6,882.55,-38.81,0.83,-1.11,-53.26,2.80"
" 47/ 47/ 7,573.25,-24.23,0.52,-0.71,-33.23,2.80"
" 47/ 63/ 6,867.43,-38.81,0.83,1.20,55.41,2.80"
" 47/ 63/ 7,562.05,-24.23,0.52,0.76,34.62,2.80"
" 48/ 48/ 6,479.74,-22.55,33.38,-45.86,-30.91,2.80"
" 48/ 48/ 7,315.76,-14.33,21.14,-29.02,-19.63,2.80"
" 48/ 64/ 6,464.62,-22.55,33.38,47.59,32.23,2.80"
" 48/ 64/ 7,304.56,-14.33,21.14,30.17,20.49,2.80"
" 49/ 49/ 6,315.08,22.64,-32.49,46.77,32.32,2.80"
" 49/ 49/ 7,208.96,14.28,-20.37,29.45,20.45,2.80"
" 49/ 65/ 6,299.96,22.64,-32.49,-44.20,-31.07,2.80"
" 49/ 65/ 7,197.76,14.28,-20.37,-27.57,-19.53,2.80"
" 50/ 50/ 6,581.10,39.34,-2.20,2.49,55.92,2.80"
" 50/ 50/ 7,380.79,24.38,-1.47,1.64,34.77,2.80"
" 50/ 66/ 6,565.98,39.34,-2.20,-3.68,-54.22,2.80"
" 50/ 66/ 7,369.59,24.38,-1.47,-2.47,-33.51,2.80"
