Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 94/ 34/ 6,0,0,85.32,-100.63,0,6
 94/ 35/ 6,0,0,-85.32,-100.63,0,6
 95/ 35/ 6,0,0,87.24,-100.15,0,6
 95/ 36/ 6,0,0,-83.4,-88.62,0,6
 96/ 37/ 6,0,0,147.42,-161.5,0,6
 96/ 38/ 6,0,0,-153.36,-179.3,0,6
 97/ 38/ 6,0,0,150.39,-181.05,0,6
 97/ 39/ 6,0,0,-150.39,-181.05,0,6
 98/ 39/ 6,0,0,153.36,-179.3,0,6
 98/ 40/ 6,0,0,-147.42,-161.5,0,6
 99/ 41/ 6,0,0,147.42,-161.5,0,6
 99/ 42/ 6,0,0,-153.36,-179.3,0,6
 100/ 42/ 6,0,0,150.39,-181.05,0,6
 100/ 43/ 6,0,0,-150.39,-181.05,0,6
 101/ 43/ 6,0,0,153.36,-179.3,0,6
 101/ 44/ 6,0,0,-147.42,-161.5,0,6
 102/ 45/ 6,0,0,83.4,-88.62,0,6
 102/ 46/ 6,0,0,-87.24,-100.15,0,6
 103/ 46/ 6,0,0,85.32,-100.63,0,6
 103/ 47/ 6,0,0,-85.32,-100.63,0,6
 104/ 47/ 6,0,0,87.24,-100.15,0,6
 104/ 48/ 6,0,0,-83.4,-88.62,0,6
 105/ 49/ 6,0,0,84.19,-90.24,0,6
 105/ 50/ 6,0,0,-86.45,-97.02,0,6
 106/ 50/ 6,0,0,85.32,-100.54,0,6
 106/ 51/ 6,0,0,-85.32,-100.54,0,6
 107/ 51/ 6,0,0,86.45,-97.02,0,6
 107/ 52/ 6,0,0,-84.19,-90.24,0,6
 108/ 53/ 6,0,0,148.97,-165.08,0,6
 108/ 54/ 6,0,0,-151.81,-173.59,0,6
 109/ 54/ 6,0,0,150.39,-180.77,0,6
 109/ 55/ 6,0,0,-150.39,-180.77,0,6
 110/ 55/ 6,0,0,151.81,-173.59,0,6
 110/ 56/ 6,0,0,-148.97,-165.08,0,6
 111/ 57/ 6,0,0,148.97,-165.08,0,6
 111/ 58/ 6,0,0,-151.81,-173.59,0,6
 112/ 58/ 6,0,0,150.39,-180.77,0,6
 112/ 59/ 6,0,0,-150.39,-180.77,0,6
 113/ 59/ 6,0,0,151.81,-173.59,0,6
 113/ 60/ 6,0,0,-148.97,-165.08,0,6
 114/ 61/ 6,0,0,84.19,-90.24,0,6
 114/ 62/ 6,0,0,-86.45,-97.02,0,6
 115/ 62/ 6,0,0,85.32,-100.54,0,6
