"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 4/ 20/ 33 (C),414.30,14.41,-2.43,12.43,-17.57,3.30"
" 4/ 20/ 34 (C),513.65,14.40,22.45,26.75,-17.55,3.30"
" 4/ 20/ 35 (C),301.85,-8.89,-2.43,12.44,-0.41,3.30"
" 4/ 20/ 36 (C),406.86,-4.52,18.96,23.93,-4.19,3.30"
" 4/ 20/ 37 (C),419.97,18.79,-5.92,9.61,-21.37,3.30"
" 4/ 20/ 38 (C),519.31,18.78,18.96,23.93,-21.35,3.30"
" 4/ 20/ 39 (C),307.52,-4.51,-5.92,9.62,-4.21,3.30"
" 4/ 20/ 40 (C),408.45,4.94,8.26,18.18,-10.88,3.30"
" 5/ 5/ 22 (C),811.90,-0.19,-16.85,18.54,-0.21,3.30"
" 5/ 5/ 23 (C),1281.46,-0.35,-27.51,30.26,-0.38,3.30"
" 5/ 5/ 24 (C),713.87,-37.02,18.91,-83.24,-86.12,3.30"
" 5/ 5/ 25 (C),866.36,52.54,-48.26,110.49,121.32,3.30"
" 5/ 5/ 26 (C),700.89,52.56,18.92,-83.25,121.33,3.30"
" 5/ 5/ 27 (C),879.35,-37.03,-48.26,110.49,-86.14,3.30"
" 5/ 5/ 28 (C),721.60,-52.91,15.60,-74.56,-121.72,3.30"
" 5/ 5/ 29 (C),874.09,36.65,-51.58,119.17,85.72,3.30"
" 5/ 5/ 30 (C),708.61,36.66,15.60,-74.57,85.73,3.30"
" 5/ 5/ 31 (C),887.07,-52.92,-51.58,119.18,-121.74,3.30"
" 5/ 5/ 32 (C),747.72,-19.73,3.91,-40.15,-45.80,3.30"
" 5/ 5/ 33 (C),835.99,28.10,-34.74,71.31,64.97,3.30"
" 5/ 5/ 34 (C),740.79,28.11,3.91,-40.16,64.98,3.30"
" 5/ 5/ 35 (C),842.93,-19.73,-34.74,71.31,-45.81,3.30"
" 5/ 5/ 36 (C),751.97,-28.47,2.08,-35.38,-65.38,3.30"
" 5/ 5/ 37 (C),840.24,19.36,-36.57,76.08,45.40,3.30"
" 5/ 5/ 38 (C),745.04,19.36,2.08,-35.38,45.41,3.30"
" 5/ 5/ 39 (C),847.17,-28.47,-36.57,76.08,-65.39,3.30"
" 5/ 5/ 40 (C),789.67,-0.18,-16.33,17.96,-0.20,3.30"
" 5/ 21/ 22 (C),798.95,-0.19,-16.85,-37.08,0.43,3.30"
" 5/ 21/ 23 (C),1263.98,-0.35,-27.51,-60.52,0.77,3.30"
" 5/ 21/ 24 (C),700.92,-37.02,18.91,-20.82,36.03,3.30"
" 5/ 21/ 25 (C),853.41,52.54,-48.26,-48.76,-52.08,3.30"
" 5/ 21/ 26 (C),687.94,52.56,18.92,-20.81,-52.10,3.30"
" 5/ 21/ 27 (C),866.40,-37.03,-48.26,-48.77,36.05,3.30"
" 5/ 21/ 28 (C),708.65,-52.91,15.60,-23.09,52.89,3.30"
" 5/ 21/ 29 (C),861.14,36.65,-51.58,-51.03,-35.22,3.30"
" 5/ 21/ 30 (C),695.66,36.66,15.60,-23.08,-35.24,3.30"
" 5/ 21/ 31 (C),874.12,-52.92,-51.58,-51.04,52.91,3.30"
" 5/ 21/ 32 (C),734.77,-19.73,3.91,-27.27,19.29,3.30"
" 5/ 21/ 33 (C),823.04,28.10,-34.74,-43.34,-27.75,3.30"
" 5/ 21/ 34 (C),727.84,28.11,3.91,-27.26,-27.77,3.30"
" 5/ 21/ 35 (C),829.97,-19.73,-34.74,-43.34,19.31,3.30"
" 5/ 21/ 36 (C),739.02,-28.47,2.08,-28.51,28.56,3.30"
" 5/ 21/ 37 (C),827.29,19.36,-36.57,-44.59,-18.48,3.30"
" 5/ 21/ 38 (C),732.08,19.36,2.08,-28.51,-18.50,3.30"
" 5/ 21/ 39 (C),834.22,-28.47,-36.57,-44.59,28.58,3.30"
" 5/ 21/ 40 (C),776.72,-0.18,-16.33,-35.92,0.41,3.30"
" 6/ 6/ 22 (C),1572.18,-0.70,0.85,-0.94,-0.78,3.30"
" 6/ 6/ 23 (C),2501.05,-1.09,1.40,-1.54,-1.20,3.30"
" 6/ 6/ 24 (C),1550.74,-91.00,88.97,-250.30,-225.70,3.30"
" 6/ 6/ 25 (C),1517.73,100.90,-79.50,227.60,251.33,3.30"
" 6/ 6/ 26 (C),1496.79,100.90,88.97,-250.31,251.33,3.30"
" 6/ 6/ 27 (C),1571.68,-91.01,-79.51,227.61,-225.71,3.30"
" 6/ 6/ 28 (C),1554.10,-102.28,81.15,-229.41,-252.84,3.30"
" 6/ 6/ 29 (C),1521.09,89.62,-87.32,248.49,224.18,3.30"
" 6/ 6/ 30 (C),1500.15,89.63,81.15,-229.42,224.19,3.30"
" 6/ 6/ 31 (C),1575.04,-102.28,-87.32,248.49,-252.85,3.30"
" 6/ 6/ 32 (C),1543.37,-48.83,51.44,-144.12,-120.66,3.30"
" 6/ 6/ 33 (C),1526.61,53.65,-45.49,130.83,134.07,3.30"
" 6/ 6/ 34 (C),1514.56,53.65,51.44,-144.13,134.08,3.30"
" 6/ 6/ 35 (C),1555.42,-48.83,-45.49,130.83,-120.67,3.30"
" 6/ 6/ 36 (C),1545.22,-55.03,47.14,-132.64,-135.59,3.30"
" 6/ 6/ 37 (C),1528.45,47.45,-49.79,142.31,119.15,3.30"
" 6/ 6/ 38 (C),1516.41,47.45,47.14,-132.65,119.15,3.30"
" 6/ 6/ 39 (C),1557.26,-55.03,-49.79,142.31,-135.59,3.30"
" 6/ 6/ 40 (C),1526.57,-0.69,0.82,-0.91,-0.76,3.30"
" 6/ 22/ 22 (C),1551.94,-0.70,0.85,1.87,1.55,3.30"
" 6/ 22/ 23 (C),2473.73,-1.09,1.40,3.07,2.39,3.30"
" 6/ 22/ 24 (C),1530.50,-91.00,88.97,43.29,74.61,3.30"
" 6/ 22/ 25 (C),1497.49,100.90,-79.50,-34.75,-81.64,3.30"
" 6/ 22/ 26 (C),1476.55,100.90,88.97,43.30,-81.65,3.30"
" 6/ 22/ 27 (C),1551.44,-91.01,-79.51,-34.76,74.62,3.30"
" 6/ 22/ 28 (C),1533.86,-102.28,81.15,38.37,84.67,3.30"
" 6/ 22/ 29 (C),1500.85,89.62,-87.32,-39.66,-71.57,3.30"
" 6/ 22/ 30 (C),1479.91,89.63,81.15,38.39,-71.59,3.30"
" 6/ 22/ 31 (C),1554.80,-102.28,-87.32,-39.68,84.69,3.30"
" 6/ 22/ 32 (C),1523.13,-48.83,51.44,25.62,40.47,3.30"
" 6/ 22/ 33 (C),1506.37,53.65,-45.49,-19.28,-42.97,3.30"
" 6/ 22/ 34 (C),1494.33,53.65,51.44,25.62,-42.98,3.30"
" 6/ 22/ 35 (C),1535.18,-48.83,-45.49,-19.29,40.48,3.30"
" 6/ 22/ 36 (C),1524.98,-55.03,47.14,22.91,46.00,3.30"
" 6/ 22/ 37 (C),1508.22,47.45,-49.79,-21.99,-37.43,3.30"
" 6/ 22/ 38 (C),1496.17,47.45,47.14,22.92,-37.44,3.30"
" 6/ 22/ 39 (C),1537.03,-55.03,-49.79,-22.00,46.01,3.30"
" 6/ 22/ 40 (C),1506.34,-0.69,0.82,1.81,1.52,3.30"
" 7/ 7/ 22 (C),1572.18,-0.70,-0.85,0.94,-0.78,3.30"
" 7/ 7/ 23 (C),2501.05,-1.09,-1.40,1.54,-1.20,3.30"
