"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 6/ 6/ 25 (C),1513.58,225.14,-250.39,407.75,357.74,2.80"
" 6/ 6/ 26 (C),1655.83,225.14,270.69,-438.39,357.74,2.80"
" 6/ 6/ 27 (C),1663.16,-205.14,-250.39,407.75,-325.05,2.80"
" 6/ 6/ 28 (C),1808.36,-226.61,253.63,-410.77,-359.11,2.80"
" 6/ 6/ 29 (C),1516.53,203.68,-267.46,435.37,323.68,2.80"
" 6/ 6/ 30 (C),1658.78,203.68,253.63,-410.77,323.68,2.80"
" 6/ 6/ 31 (C),1666.11,-226.61,-267.46,435.37,-359.11,2.80"
" 6/ 6/ 32 (C),1727.36,-94.69,125.29,-202.31,-149.77,2.80"
" 6/ 6/ 33 (C),1593.23,103.09,-114.21,186.60,164.06,2.80"
" 6/ 6/ 34 (C),1658.61,103.09,125.29,-202.31,164.06,2.80"
" 6/ 6/ 35 (C),1661.98,-94.69,-114.21,186.60,-149.77,2.80"
" 6/ 6/ 36 (C),1728.72,-104.55,117.45,-189.62,-165.43,2.80"
" 6/ 6/ 37 (C),1594.58,93.22,-122.06,199.29,148.41,2.80"
" 6/ 6/ 38 (C),1659.97,93.22,117.45,-189.62,148.41,2.80"
" 6/ 6/ 39 (C),1663.34,-104.55,-122.06,199.29,-165.43,2.80"
" 6/ 22/ 22 (C),1686.57,-0.76,1.67,3.11,1.41,2.80"
" 6/ 22/ 23 (C),2657.94,-1.21,2.69,5.02,2.27,2.80"
" 6/ 22/ 24 (C),1794.42,-205.14,270.69,319.55,249.34,2.80"
" 6/ 22/ 25 (C),1502.59,225.14,-250.39,-293.35,-272.65,2.80"
" 6/ 22/ 26 (C),1644.84,225.14,270.69,319.55,-272.65,2.80"
" 6/ 22/ 27 (C),1652.17,-205.14,-250.39,-293.35,249.34,2.80"
" 6/ 22/ 28 (C),1797.37,-226.61,253.63,299.39,275.38,2.80"
" 6/ 22/ 29 (C),1505.54,203.68,-267.46,-313.51,-246.61,2.80"
" 6/ 22/ 30 (C),1647.79,203.68,253.63,299.39,-246.61,2.80"
" 6/ 22/ 31 (C),1655.13,-226.61,-267.46,-313.51,275.38,2.80"
" 6/ 22/ 32 (C),1716.37,-94.69,125.29,148.51,115.35,2.80"
" 6/ 22/ 33 (C),1582.24,103.09,-114.21,-133.20,-124.58,2.80"
" 6/ 22/ 34 (C),1647.62,103.09,125.29,148.51,-124.58,2.80"
" 6/ 22/ 35 (C),1650.99,-94.69,-114.21,-133.20,115.35,2.80"
" 6/ 22/ 36 (C),1717.73,-104.55,117.45,139.24,127.31,2.80"
" 6/ 22/ 37 (C),1583.59,93.22,-122.06,-142.47,-112.61,2.80"
" 6/ 22/ 38 (C),1648.98,93.22,117.45,139.24,-112.61,2.80"
" 6/ 22/ 39 (C),1652.35,-104.55,-122.06,-142.47,127.31,2.80"
" 7/ 7/ 22 (C),1697.56,-0.76,-1.67,1.56,-0.71,2.80"
" 7/ 7/ 23 (C),2672.78,-1.21,-2.69,2.51,-1.13,2.80"
" 7/ 7/ 24 (C),1666.11,-226.61,267.46,-435.37,-359.11,2.80"
" 7/ 7/ 25 (C),1658.78,203.68,-253.63,410.77,323.68,2.80"
" 7/ 7/ 26 (C),1516.53,203.68,267.46,-435.37,323.68,2.80"
" 7/ 7/ 27 (C),1808.36,-226.61,-253.63,410.77,-359.11,2.80"
" 7/ 7/ 28 (C),1663.16,-205.14,250.39,-407.75,-325.05,2.80"
" 7/ 7/ 29 (C),1655.83,225.14,-270.69,438.39,357.74,2.80"
" 7/ 7/ 30 (C),1513.58,225.14,250.39,-407.75,357.74,2.80"
" 7/ 7/ 31 (C),1805.41,-205.14,-270.69,438.39,-325.05,2.80"
" 7/ 7/ 32 (C),1663.34,-104.55,122.06,-199.29,-165.43,2.80"
" 7/ 7/ 33 (C),1659.97,93.22,-117.45,189.62,148.41,2.80"
" 7/ 7/ 34 (C),1594.58,93.22,122.06,-199.29,148.41,2.80"
" 7/ 7/ 35 (C),1728.72,-104.55,-117.45,189.62,-165.43,2.80"
" 7/ 7/ 36 (C),1661.98,-94.69,114.21,-186.60,-149.77,2.80"
" 7/ 7/ 37 (C),1658.61,103.09,-125.29,202.31,164.06,2.80"
" 7/ 7/ 38 (C),1593.23,103.09,114.21,-186.60,164.06,2.80"
" 7/ 7/ 39 (C),1727.36,-94.69,-125.29,202.31,-149.77,2.80"
" 7/ 23/ 22 (C),1686.57,-0.76,-1.67,-3.11,1.41,2.80"
" 7/ 23/ 23 (C),2657.94,-1.21,-2.69,-5.02,2.27,2.80"
" 7/ 23/ 24 (C),1655.13,-226.61,267.46,313.51,275.38,2.80"
" 7/ 23/ 25 (C),1647.79,203.68,-253.63,-299.39,-246.61,2.80"
" 7/ 23/ 26 (C),1505.54,203.68,267.46,313.51,-246.61,2.80"
" 7/ 23/ 27 (C),1797.37,-226.61,-253.63,-299.39,275.38,2.80"
" 7/ 23/ 28 (C),1652.17,-205.14,250.39,293.35,249.34,2.80"
