"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 26/ 86/ 7 (C),0.000,-0.000,-42.612,181.524,-0.000,3.775"
" 26/ 86/ 8 (C),0.000,-0.000,-30.219,130.268,-0.000,3.775"
" 26/ 86/ 9 (C),0.000,-0.000,-28.762,123.084,-0.000,3.775"
" 26/ 86/ 13 (C),0.000,-0.000,-25.062,114.171,-0.000,3.775"
" 26/ 86/ 14 (C),0.000,0.000,-30.423,121.941,-0.000,3.775"
" 26/ 87/ 6 (C),0.000,-0.000,-77.445,-79.155,0.000,3.775"
" 26/ 87/ 7 (C),0.000,-0.000,-116.889,-119.534,0.000,3.775"
" 26/ 87/ 8 (C),0.000,-0.000,-84.450,-86.168,0.000,3.775"
" 26/ 87/ 9 (C),0.000,-0.000,-79.446,-81.159,0.000,3.775"
" 26/ 87/ 13 (C),0.000,-0.000,-73.263,-71.417,0.000,3.775"
" 26/ 87/ 14 (C),0.000,0.000,-78.625,-83.886,-0.000,3.775"
" 27/ 79/ 6 (C),-0.000,-0.000,19.826,-4.773,-0.000,3.525"
" 27/ 79/ 7 (C),-0.000,-0.000,29.751,-7.052,-0.000,3.525"
" 27/ 79/ 8 (C),-0.000,-0.000,21.835,-5.367,-0.000,3.525"
" 27/ 79/ 9 (C),-0.000,-0.000,20.400,-4.943,-0.000,3.525"
" 27/ 79/ 13 (C),-0.000,-0.000,15.868,0.447,-0.000,3.525"
" 27/ 79/ 14 (C),-0.000,0.000,22.923,-9.737,0.000,3.525"
" 27/ 87/ 6 (C),-0.000,-0.000,-24.305,-12.667,0.000,3.525"
" 27/ 87/ 7 (C),-0.000,-0.000,-36.629,-19.174,0.000,3.525"
" 27/ 87/ 8 (C),-0.000,-0.000,-26.645,-13.846,0.000,3.525"
" 27/ 87/ 9 (C),-0.000,-0.000,-24.974,-13.004,0.000,3.525"
" 27/ 87/ 13 (C),-0.000,-0.000,-27.331,-19.758,0.000,3.525"
" 27/ 87/ 14 (C),-0.000,0.000,-20.276,-5.071,-0.000,3.525"
