Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)
 194/ 133/ 6,123.44,6.93,-34.61,45.34,9.12,2.8
 194/ 166/ 6,117.54,6.93,-34.61,-51.76,-10.25,2.8
 195/ 164/ 6,0,0,11.35,39.71,0,2.775
 195/ 165/ 6,0,0,-53.55,-27.6,0,2.775
 196/ 158/ 6,0,0,21.79,-2.08,0,3.725
 196/ 165/ 6,0,0,-32.99,-22.94,0,3.725
 197/ 132/ 6,103.42,-9.38,16.27,-21.15,-12.84,2.8
 197/ 165/ 6,97.52,-9.38,16.27,24.29,13.76,2.8
 198/ 163/ 6,0,0,86.46,-53.95,0,1.35
 198/ 164/ 6,0,0,58.7,43.7,0,1.35
 199/ 157/ 6,0,0,54.27,-28.4,0,3.725
 199/ 164/ 6,0,0,-47.35,-15.51,0,3.725
 200/ 162/ 6,0,0,33.48,-15.64,0,2.5
 200/ 163/ 6,0,0,-48.74,-34.44,0,2.5
 201/ 130/ 6,185.87,0.83,-13.28,18.07,0.86,2.8
 201/ 163/ 6,179.97,0.83,-13.28,-19.35,-1.03,2.8
 202/ 161/ 6,0,0,59.06,-56.87,0,2.35
 202/ 162/ 6,0,0,-15.63,-5.53,0,2.35
 203/ 156/ 6,0,0,46.41,-14.68,0,3.725
 203/ 162/ 6,0,0,-58.25,-36.74,0,3.725
 204/ 129/ 6,113.27,-13.96,-4.09,5.43,-18.46,2.8
 204/ 162/ 6,107.37,-13.96,-4.09,-6.18,20.82,2.8
 205/ 160/ 6,0,0,-85.77,47.04,0,1.35
 205/ 161/ 6,0,0,-112.5,-86,0,1.35
 206/ 128/ 6,247.04,6,25.87,-32.74,7.73,2.8
 206/ 161/ 6,238.53,6,25.87,39.38,-8.75,2.8
 207/ 159/ 6,0,0,64.93,-41.88,0,3.675
 207/ 160/ 6,0,0,-27.84,39.4,0,3.675
 208/ 155/ 6,0,0,46.72,-10.68,0,3.725
 208/ 160/ 6,0,0,-57.93,-31.56,0,3.725
 209/ 154/ 6,0,0,26.81,-10.61,0,3.725
 209/ 159/ 6,0,0,-31.01,-18.42,0,3.725
 210/ 126/ 6,109.44,-4.64,-28.82,36.75,-6.11,2.8
 210/ 159/ 6,103.53,-4.64,-28.82,-44.07,6.9,2.8
 211/ 157/ 6,0,0,18.79,-7.99,0,2.775
 211/ 158/ 6,0,0,-15.39,-3.27,0,2.775
 212/ 125/ 6,43.09,4.04,5.01,-6.45,5.01,2.8
 212/ 158/ 6,37.18,4.04,5.01,7.57,-6.17,2.8
 213/ 156/ 6,0,0,38.97,-44.85,0,3.85
 213/ 157/ 6,0,0,-22.38,-12.91,0,3.85
 214/ 124/ 6,101.35,15.02,0.82,-1.32,19.53,2.8
